id,longitude,latitude,date,time
I000,-122.3747182371207,47.59369838078001,2020-01-01,00:38:02
I000,-122.37471821899534,47.593726805143966,2020-01-01,00:38:42
I000,-122.4267403945156,47.5722392593922,2020-01-01,01:18:46
I000,-122.42674025720282,47.57220258719421,2020-01-01,01:19:26
I000,-122.31792072128648,47.592166912692186,2020-01-01,01:41:47
I000,-122.3747182371207,47.59369838078001,2020-01-01,02:13:39
I000,-122.31066515151802,47.6236508464987,2020-01-01,02:37:32
I000,-122.2827590212447,47.64478746648778,2020-01-01,02:50:02
I000,-122.2827563066993,47.64479333713583,2020-01-01,03:03:53
I000,-122.31066515151802,47.6236508464987,2020-01-01,03:23:06
I000,-122.4267403945156,47.5722392593922,2020-01-01,03:32:51
I000,-122.31066515151802,47.6236508464987,2020-01-01,04:45:37
I000,-122.31066516389484,47.62371021488009,2020-01-01,04:46:40
I000,-122.4267403945156,47.5722392593922,2020-01-01,04:47:50
I000,-122.42674146714587,47.572181539179326,2020-01-01,04:57:19
I000,-122.33350285844485,47.67040083251598,2020-01-01,05:37:20
I000,-122.33350170757872,47.67053907661203,2020-01-01,05:39:21
I000,-122.33350151955318,47.67056310721258,2020-01-01,05:40:14
I000,-122.33350002016044,47.67061798937955,2020-01-01,05:46:53
I000,-122.33350003339784,47.67058166718395,2020-01-01,05:47:27
I000,-122.381754864913,47.54452681171674,2020-01-01,06:15:58
I000,-122.35214302902608,47.60201741752813,2020-01-01,06:16:58
I000,-122.3521430667033,47.601984722333,2020-01-01,06:17:50
I000,-122.31792072128648,47.592166912692186,2020-01-01,06:18:58
I000,-122.27253127486738,47.651206164493686,2020-01-01,09:30:52
I000,-122.31066515151802,47.6236508464987,2020-01-01,12:57:52
I000,-122.35214302902608,47.60201741752813,2020-01-01,13:55:21
I000,-122.27253127486738,47.651206164493686,2020-01-01,14:03:05
I000,-122.2725312921283,47.6512467190033,2020-01-01,14:03:35
I000,-122.30281852468715,47.60313436532212,2020-01-01,14:10:20
I000,-122.30281838995434,47.60313781992888,2020-01-01,14:12:14
I000,-122.27253127486738,47.651206164493686,2020-01-01,15:06:00
I000,-122.3747182371207,47.59369838078001,2020-01-01,15:20:53
I000,-122.35214302902608,47.60201741752813,2020-01-01,15:50:52
I000,-122.3747182371207,47.59369838078001,2020-01-01,15:53:48
I000,-122.37471757735052,47.59374468352296,2020-01-01,15:56:54
I000,-122.37471782055744,47.59374475628893,2020-01-01,16:03:07
I000,-122.35214302902608,47.60201741752813,2020-01-01,16:03:37
I000,-122.30281852468715,47.60313436532212,2020-01-01,16:08:03
I000,-122.3028195907543,47.60289921241313,2020-01-01,16:09:25
I000,-122.30281958640414,47.60289946734184,2020-01-01,16:10:47
I000,-122.30281983110469,47.602858652214906,2020-01-01,16:13:25
I000,-122.30281699219708,47.6028716610583,2020-01-01,16:23:47
I000,-122.30281852468715,47.60313436532212,2020-01-01,16:54:25
